CASE_NUMBER,GENDER,MIN_AGE,MAX_AGE,ETHNICITY,HEIGHT_CM,BUILD,DATE_FOUND,ESTIMATED_DEATH,BODY_OR_REMAINS,HAIR,FACIAL_HAIR,EYE_COLOUR,DISTINGUISHING_FEATURES,CLOTHING,POSSESSIONS,CIRCUMSTANCES,JEWELLERY,KNOWN_NOT_TO_BE
05-018284,male,18,30,white european,149,thin,1989-06-09,,body,,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'FLEECE', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LINED, WITH ELASTICATED CUFFS'}, 'CLOTHING_2': {'CATEGORY': 'WORKWEAR', 'SUBCATEGORY': 'OVERALL', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'THICK COTTON CLOTHING'}}","['sunglasses', 'cigarette papers']",found inside burnt out car behind villiers rd which had been there for approximately 5 weeks. the fire was started by carelessly discarded smoking material. he died from smoke inhalation and also had a high level of alcohol in his blood.,,
07-029233,male,18,30,asian,168,medium,1989-02-08,,body,black - collar length,goatee,brown,"{'FEATURE_1': {'CATEGORY': 'MARK', 'SUBCATEGORY': 'BIRTH', 'LOCATION': 'LEFT ARM', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'BOMBER', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'DARK NAVY BLUE ZIP UP JACKET WITH A MAN MADE FLEECE TYPE LINING'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'MULTI', 'PATTERN': 'CHECKED', 'DESCRIPTION': 'PREDOMINANTLY BLACK AND GREY CHECKS WITH RED AND BLUE CROSS LINES'}, 'CLOTHING_3': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'VEST', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'FLARED', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '""LEE"" MAKE. WAIST 30'}, 'CLOTHING_5': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'THIN RED AND WHITE DIAGONAL STRIPES'}, 'CLOTHING_6': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SKY BLUE TOWELLING SOCKS'}, 'CLOTHING_7': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'TRAINERS', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BLUE AND WHITE WITH ""NIKES"" SYMBOL EMBOSSED ON THEM. SIZE 9 UK'}}",,male was found on the tracks between paddington and warwick avenue london underground stations.,,
07-031048,male,18,30,white european,173,large,1989-01-22,,body,black - receding,,unknown,"{'FEATURE_1': {'CATEGORY': 'TATTOO', 'SUBCATEGORY': 'EMBLEM', 'LOCATION': 'LEFT ARM', 'DESCRIPTION': ""WORDS, 2 HANDS SHAKING (CLASPED) UNDER A UNION JACK & ABOVE THE WORD 'LIBERTY' ON FOREARM""}}","{'CLOTHING_1': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'HEADWEAR', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '100% PVC EAST EUROPEAN STYLE WITH PEAK & STRAP ACROSS TOP WITH SIDE EAR MUFFS'}}","['8 x keys on an octagonal fob & stainless steel belt clip', 'william hill betting office biro pen', 'green rizla cigarette papers', 'book of matches from betjeman carving restaurant', 'charing cross road', 'strand', 'london', 'magnifying glass - chipped', 'hand held in blue plastic case', 'sun newspaper dated 21/01/89', 'news of the world newspaper dated 22/01/89', '�32 cash approximately', 'dirty red & white check handkerchief', 'stainless steel parker biro pen with blue ink', 'tortoise shell style plastic comb']","male found collapsed at euston station. was dead on arrival at hospital, believed to be from a heart attack.","watch - 1 - ""montine""",
06-026114,male,18,30,asian,163,medium,1988-07-03,,body,,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'RED', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SLEEVELESS WITH BLACK TRIM'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'BEIGE', 'DESCRIPTION': 'STRIPED'}, 'CLOTHING_3': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'SWEATER', 'COLOUR': 'RED', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'POLO NECK', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'NYLON'}}",,found on the beach in folkestone. believed to have been in the water approximately 2 weeks.,,
06-024021,male,18,30,white european,165,stocky,1988-03-31,,body,dark brown - greying,,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'SURGICAL', 'LOCATION': 'ABDOMEN', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'CREAM', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'CREAM OR WHITE'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'CREAM OR WHITE'}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'ANKLE BOOTS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'VEST', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LONG SLEEVED \'ST MICHAEL\' 38""'}, 'CLOTHING_5': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'CREAM', 'PATTERN': 'CHECKED', 'DESCRIPTION': 'FINE CHECK \'ST MICHAEL\' 15"" COLLAR'}, 'CLOTHING_6': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'V NECK', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BROWN / MAROON 'JOHN SMEDLEY' LABEL""}, 'CLOTHING_7': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""MID BROWN STRETCH WEAVE 'MARIFA SWEDEN' MADE BY DUNN AND CO IN THE UK""}, 'CLOTHING_8': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SIMULATED SNAKESKIN BELT'}, 'CLOTHING_9': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LONGJOHNS SIZE 33'}, 'CLOTHING_10': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'AIRTEX' TYPE PANTS WITH HORIZONTAL BROWN STRIPS (NO LABEL)""}, 'CLOTHING_11': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'MAROON', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'WOOLLY'}, 'CLOTHING_12': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'ANKLE BOOTS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SHORT'}}",,"recovered from the sea near st peter port harbour, guernsey. believed to have been in the water between 7 and 14 days. may have had partial lower dentures.",watch - 1 - 'pulsar quartz' - set to gmt and still in working order,
05-017929,male,18,30,white european,172,thin,1988-03-16,,body,dark brown - short,,brown,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'LEATHER', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BURGUNDY'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'TWEED'}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LEATHER'}, 'CLOTHING_4': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BURGUNDY UNDERSHIRT'}, 'CLOTHING_5': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREEN', 'PATTERN': 'FLECKED', 'DESCRIPTION': 'LIGHT GREEN WITH CREAM FLECKS'}, 'CLOTHING_6': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'TURNS UPS AND A HOLE IN THE RIGHT KNEE'}}",,male dived under the wheels of a coach in knightsbridge. he may have been living rough but was well nourished.,,
05-018285,male,18,30,white european,172,thin,1988-03-15,,body,white - short,full beard,unknown,"{'FEATURE_1': {'CATEGORY': 'LACKING', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'TEETH', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",,decomposed body found in the cellar of a house in westminster. believed to have died at the beginning of march from a pre-existing illness.,,
05-018286,male,18,30,dark european,170,medium,1988-03-13,,body,black - curly,moustache,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'SURGICAL', 'LOCATION': 'RIGHT ABDOMEN', 'DESCRIPTION': None}, 'FEATURE_2': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'NOSE', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'ST. MICHAELS'}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'HIKING BOOTS'}, 'CLOTHING_4': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'SWEATER', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'CITIZEN'}, 'CLOTHING_5': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'VEST', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}","['key on a bootlace', 'swiss army style knife']",decomposed body found in the river thames under waterloo bridge.,,
06-026106,male,18,30,white european,155,medium,1988-02-24,,body,unknown - shaven,stubble,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'CUT', 'LOCATION': 'LEFT BROW', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LEATHER BELT WITH BLACK STUDS'}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'COMBAT', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""LABELLED 'CHINA MENS KD TYPE NUMBER AMS82' STOCK NUMBER 3206""}, 'CLOTHING_4': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'STALLION' MALE SIZE 7 WALKING BOOTS MADE IN ROMANIA""}}",,decomposed body found on foreshore of redcliffe bay.,watch - 1 - 'sekonda' 19 jewel watch r/wrist with roman numerals inscribed 554115 on back of case with black strap,
05-017822,male,18,30,white european,172,thin,1988-02-14,,body,,,unknown,,,,burnt body was found in a ground floor room after a serious fire in redmans road.,,
06-026109,male,18,30,afro caribbean,183,stocky,1988-02-14,,body,black - short,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'DONKEY', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""NAVY BLUE WITH BLUE/GREEN CHECK LINING, 'BOYS OWN' MAKE, MEDIUM SIZE""}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'FADED BLUE \'WRANGLER\' JEANS, SIZE 36"" WAIST, 34"" LEG'}, 'CLOTHING_3': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'CREW NECK', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'OLIVE GREEN CHUNKY KNIT WOOLLEN JUMPER'}, 'CLOTHING_4': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'BROWN', 'PATTERN': 'CHECKED', 'DESCRIPTION': ""LARGE SIZE, 'TESCO' MAKE""}, 'CLOTHING_5': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'GREY', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_6': {'CATEGORY': 'SCARF', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'GREY/BLUE'}, 'CLOTHING_7': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_8': {'CATEGORY': 'GLOVES', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'PAIR OF POLYESTER/COTTON SHELL ACRYLIC GLOVES WITH RAYON/FOAM LINING, LARGE SIZE'}, 'CLOTHING_9': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'TRAINERS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'GREEN FLASH DUNLOP' TRAINERS SIZE 9""}}",['a-z street map opened on pages marked bristol but showing the area of cheltenham.'],male body found in the bristol channel near newport.,,
06-025163,male,18,30,dark european,170,thin,1988-01-31,,body,black - curly,,brown,,,,"found wrapped in a morrocan carpet in the hold of a ship whilst it was docked at felixstowe. the ship had berthed at casablanca on 23 january 1988 and cadiz, spain. believed he was crushed by falling cargo.",,
05-018288,male,18,30,white european,172,thin,1988-01-29,,body,dark brown - straight,,brown,,"{'CLOTHING_1': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'CARDIGAN', 'COLOUR': 'BROWN', 'PATTERN': 'STRIPED', 'DESCRIPTION': 'ZIP UP'}, 'CLOTHING_2': {'CATEGORY': 'OVERCOAT', 'SUBCATEGORY': 'BARBOUR', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'SCARF', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'RED', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_5': {'CATEGORY': 'GLOVES', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_6': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LEATHER'}}",,found in the street sitting against the wall by a paper stand outside aldgate east underground station. believed to have been dead for several hours.,watch - 1 - black plastic digital,
05-018289,male,18,30,white european,182,large,1988-01-07,,body,grey - receding,moustache,unknown,,"{'CLOTHING_1': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'GREEN', 'PATTERN': 'STRIPED', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'TIE', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'WITH RED MOTIF'}, 'CLOTHING_3': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'LACE', 'COLOUR': 'UP', 'PATTERN': 'BROWN', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_4': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",,found in the river thames near barking reach. believed to have been in the water at least 3 weeks. he had no tattoos.,watch - 1 - gents seconda gold coloured on leather strap,
05-018292,male,18,30,white european,172,thin,1987-12-29,,body,black - receding,,unknown,"{'FEATURE_1': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'FACE', 'DESCRIPTION': None}, 'FEATURE_2': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'BROKEN NOSE', 'LOCATION': 'NOSE', 'DESCRIPTION': None}, 'FEATURE_3': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'TEETH', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'CARDIGAN', 'COLOUR': 'BEIGE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'ZIP UP'}, 'CLOTHING_4': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'CREAM', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_5': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SUEDE'}, 'CLOTHING_6': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",['carrying red clip on braces'],body found in the river thames at kings reach.,,
06-025161,male,18,30,white european,188,thin,1987-12-22,,body,brown - wavy,moustache,hazel,"{'FEATURE_1': {'CATEGORY': 'MARK', 'SUBCATEGORY': 'MOLE', 'LOCATION': 'LEFT CHEEK', 'DESCRIPTION': None}, 'FEATURE_2': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT FINGER', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'HEADWEAR', 'SUBCATEGORY': 'WOOLLY HAT', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_2': {'CATEGORY': 'OVERCOAT', 'SUBCATEGORY': 'LONG', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'BLAZER', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'TWEED'}, 'CLOTHING_4': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'SWEATER', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_5': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'SWEATER', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_6': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_7': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'WALKING', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'RED LACES'}, 'CLOTHING_8': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}","['rucksack', 'plain paper sketchbook', ""sketches of: south of whiteley bay: the 'moorings' pub aberdeen: the 'ferry boat inn' pub ullapool: waverley centre edinburgh:inverness: edinburgh town centre"", 'keys']",male found hanging in edinburgh. believed to be a vagrant from northern scotland who may have been heading to the edinburgh festival to work as a street artist.,"watch - 1 - gents avia (found in rucksack)

chain - 1 - silver with catholic medallion",david louis dumosch
05-018293,male,18,30,white european,175,large,1987-12-02,,body,brown - greying,moustache,unknown,,"{'CLOTHING_1': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'WHITE', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'PEPS' MAKE""}, 'CLOTHING_3': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'CREW NECK', 'COLOUR': 'MULTI', 'PATTERN': 'STRIPED', 'DESCRIPTION': 'LONG SLEEVE CREAM/BEIGE \'CARDINAL\' MAKE, 40""'}, 'CLOTHING_4': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'VINYL, WAIST LENGTH'}, 'CLOTHING_5': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'VINYL'}, 'CLOTHING_6': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'FLEECE', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LINING TIGHT LENGTH'}, 'CLOTHING_7': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'YELLOW', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'Y'}, 'CLOTHING_8': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'CORDS', 'COLOUR': 'BROWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_9': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_10': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BROGUES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LEATHER'}}","['�190 cash including 5 ulster', 'all up sleeve of jacket']",found in the river thames in the lower pool at free trade wharf.,,
06-023700,female,18,30,white european,165,,1987-11-21,,body,,,unknown,"{'FEATURE_1': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'TOE', 'DESCRIPTION': None}}","{'CLOTHING_1': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'STEER' MAKE SIZE 12 WITH MANUFACTURERS LABEL ON REAR WAISTBAND""}, 'CLOTHING_2': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SWEATSHIRT', 'COLOUR': 'GREEN', 'PATTERN': 'STRIPED', 'DESCRIPTION': 'ROUND NECKED WIT YELLOW HORIZONTAL STRIPES, ELASTICATED WAIST CUFFS AND NECK'}, 'CLOTHING_3': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SHORT WITH BLUE, GREEN AND RED FLOWER PATTERN'}}",,decomposed body found on musselwich beach. believed to have been in the water for several weeks or months. she is wearing red nail varnish on her toes.,"ring - 1 - gold ring with large red ruby stone middle left finger

ring - 1 - silver tarnished ring with small red ruby stone little right finger",
